AccountID;DescriptionNOB;DescriptionENG;
3709;"Opptjent, ikke fakturert provisjonsinntekt";"Earned commission income that has not been invoiced";
3850;"Verdiendringer investeringseiendommer";"Change in value of investment properties";
3870;"Verdiendringer biologiske eiendeler";"Change in value of biological assets";
3881;"Salgssum immatr. eiendeler og varige driftsmidler, avgiftspliktig salg";"Selling price of intangible assets and tangible fixed assets, sale subject to VAT";
3882;"Salgssum immatr. eiendeler og varige driftsmidler, avgiftsfritt salg";"Selling price of intangible assets and tangible fixed assets, sale not subject to VAT";
3889;"Motkonto balanseverdi solgte immatr. eiendeler og varige driftsmidler";"Contra account, book value of intangible assets and tangible fixed assets";
3891;"Salgssum finansielle anleggsmidler";"Selling price of financial assets";
3899;"Motkonto balanseverdi finansielle anleggsmidler";"Contra account, book value of financial assets";
3900;"Annen driftsrelatert inntekt";"Other operational income";
4000;"Innkjøp av råvarer og halvfabrikata, høy avgiftssats";"Purchase of raw materials and semi-manufactures, high VAT rate";
4030;"Innkjøp av råvarer og halvfabrikata, middels avgiftssats";"Purchase of raw materials and semi-manufactures, middle VAT rate";
4060;"Frakt, toll og spedisjon";"Freight, customs duty and forwarding";
4071;"Kontantrabatt";"Cash discount";
4075;"Kvantumsrabatt";"Quantity discount";
4079;"Annen innkjøpsprisreduksjon";"Other purchase price reduction";
4080;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
4081;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
4082;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
4083;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
4084;"Grunnlag innførsel av varer med null sats";"Basis import of goods with zero rate";
4085;"Grunnlag innførsel av varer med  null sats, motkonto";"Basis import of goods with zero rate, contra account";
4086;"Innenlands kjøp av varer, omvendt avgiftsplikt";"Domestic purchase of goods, reversed VAT liability";
4087;"Innenlands kjøp av varer, omvendt avgiftsplikt, motkonto";"Domestic purchase of goods, reversed VAT liability, contra account";
4090;"Beholdningsendring";"Change in stock";
4100;"Innkjøp varer under tilvirkning, høy avgiftssats";"Purchases of work in progress, high VAT rate";
4130;"Innkjøp varer under tilvirkning, middels avgiftssats";"Purchases of work in progress, middle VAT rate";
4160;"Frakt, toll og spedisjon";"Freight, customs duty and forwarding";
4171;"Kontantrabatt";"Cash discount";
4175;"Kvantumsrabatt";"Quantity discount";
4179;"Annen innkjøpsprisreduksjon";"Other purchase price reduction";
4190;"Beholdningsendring";"Change in stock";
4200;"Innkjøp ferdig egentilvirkede varer, høy avgiftssats";"Purchase of self-produced finished goods, high VAT rate";
4230;"Innkjøp ferdig egentilvirkede varer, middels avgiftssats";"Purchase of self-produced finished goods, middle VAT rate";
4260;"Frakt, toll og spedisjon";"Freight, customs duty and forwarding";
4270;"Innkjøpsprisreduksjon";"Purchase price reduction";
4290;"Beholdningsendring";"Change in stock";
4300;"Innkjøp av varer for videresalg, høy avgiftssats";"Purchase of goods for resale, high VAT rate";
4330;"Innkjøp av varer for videresalg, middels avgiftssats";"Purchase of goods for resale, middle VAT rate";
4360;"Frakt, toll og spedisjon";"Freight, customs duty and forwarding";
4371;"Kontantrabatt";"Cash discount";
4375;"Kvantumsrabatt";"Quantity discount";
4379;"Annen innkjøpsprisreduksjon";"Other purchase price reduction";
4380;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
4381;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
4382;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
4383;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
4384;"Grunnlag innførsel av varer med nullsats";"Basis import of goods with zero rate";
4385;"Grunnlag innførsel av varer med nullsats, motkonto";"Basis import of goods with zero rate, contra account";
4386;"Innenlands kjøp av varer, omvendt avgiftsplikt";"Domestic purchase of goods, reversed VAT liability";
4387;"Innenlands kjøp av varer, omvendt avgiftsplikt, motkonto";"Domestic purchase of goods, reversed VAT liability, contra account";
4390;"Beholdningsendring";"Change in stock";
4500;"Fremmedytelse og underentreprise";"External services and subcontracts";
4550;"Fremmedytelse og underentreprise, oppgavepliktig";"External services and subcontracts, reportable";
4590;"Beholdningsendring";"Change in stock";
4600;"Emballasjematerialer";"Packing materials";
4690;"Beholdningsendring";"Change in stock";
4900;"Annen periodisering";"Other accruals";
4990;"Beholdningsendring, egentilvirkede anleggsmidler";"Change in stock, fixed assets of own production";
5000;"Lønn til ansatte";"Wages and salaries to employees";
5005;"Avtalte tariffgodtgjørelser";"Contractual remuneration";
5090;"Påløpt, ikke utbetalt lønn";"Accrued, unpaid wages and salaries";
5092;"Feriepenger";"Holiday pay";
5099;"Andre lønnsposteringer";"Other pay items";
5100;"Lønn til ansatte";"Wages and salaries to employees";
5105;"Avtalte tariffgodtgjørelser";"Contractual remuneration";
5190;"Påløpt, ikke utbetalt lønn";"Accrued, unpaid wages and salaries";
5192;"Feriepenger";"Holiday pay";
5199;"Andre lønnsposteringer";"Other pay items";
5200;"Fri bil";"Company car";
5210;"Fri telefon";"Company-paid telephone";
5220;"Fri avis";"Company-paid newspaper";
5230;"Fri kost";"Free board";
5235;"Fri losji";"Free accommodation";
5236;"Fri bolig";"Free housing";
5240;"Rentefordel";"Interest rate benefit";
5250;"Gruppelivsforsikring";"Group life insurance";
5252;"Ulykkesforsikring";"Accident insurance";
5253;"Personavbruddsforsikring";"Personal consequential loss insurance";
5254;"Yrkesskadeforsikring, skattepliktig del";"Occupational injuries insurance, taxable portion";
5280;"Annen fordel i arbeidsforhold";"Other benefits of employment";
5290;"Motkonto for gruppe 52";"Contra account for group 52";
5300;"Tantieme";"Bonuses";
5330;"Godtgjørelse til styremedlemmer";"Remuneration to members of the board";
5335;"Godtgjørelse til medlemmer av bedriftsforsamlingen";"Remuneration to members of the corporate assembly";
5390;"Annen oppgavepliktig godtgjørelse";"Other reportable remuneration";
5400;"Arbeidsgiveravgift";"Employers’ national insurance contributions";
5405;"Arbeidsgiveravgift av påløpte feriepenger";"Employers’ national insurance contributions on accrued holiday pay";
5420;"Innberetningspliktig pensjonskostnad";"Reportable pension costs";
5500;"Annen kostnadsgodtgjørelse";"Other expense allowances";
5600;"Arbeidsgodtgjørelse til eiere i DLS";"Labour remuneration to owners of general partnership companies";
5700;"Lærlingtilskudd";"Apprentice grant";
5750;"Annet lønnstilskudd";"Other wage subsidies";
5800;"Refusjon av sykepenger";"Reimbursement of sickness benefits";
5820;"Refusjon av arbeidsgiveravgift";"Reimbursement of national insurance contributions";
5830;"Refusjon arbeidsmarkedstiltak";"Refund, labour market schemes";
5890;"Annen refusjon";"Other refunds";
5900;"Gaver til ansatte, fradragsberettiget";"Gifts to employees, deductible";
5905;"Gaver til ansatte, ikke fradragsberettiget";"Gifts to employees, non-deductible";
5910;"Kantinekostnad";"Canteen costs";
5915;"Overtidsmat";"Overtime meals";
5919;"Trekk kantinekostnader ansatte";"Deduction for canteen costs, employees";
5920;"Yrkesskadeforsikring";"Occupational injury insurance";
5930;"Annen ikke arbeidsgiveravgiftspliktig forsikring";"Other insurance not subject to national insurance contributions";
5941;"LO/NHO-ordningen (O&U+sluttvederlag)";"LO/NHO scheme (O&U + severance pay)";
5942;"LO/NHO-ordningen (AFP)";"LO/NHO scheme (AFP)";
5950;"Obligatorisk tjenestepensjon (OTP)";"Mandatory Occupational Pension (OTP)";
5990;"Annen personalkostnad";"Other personnel costs";
6000;"Avskrivning på bygninger og annen fast eiendom";"Depreciation of buildings and other real property";
6010;"Avskrivning på transportmidler";"Depreciation of means of transport";
6015;"Avskrivning på maskiner";"Depreciation of machinery";
6017;"Avskrivning på inventar";"Depreciation of fixtures and fittings";
6020;"Avskrivning på ervervet goodwill";"Depreciation of acquired goodwill";
6029;"Avskrivning på andre immaterielle eiendeler";"Depreciation of other intangible assets";
6050;"Nedskrivning av varige driftsmidler";"Write-down on tangible fixed assets";
6055;"Nedskrivning av immaterielle eiendeler";"Write-down on intangible assets";
6059;"Reversering av nedskrivning varige driftsmidler og immaterielle eiendeler";"Reversal of write-down on tangible fixed assets and intangible assets";
6100;"Frakt, transportkostnad og forsikring ved vareforsendelse";"Freight, transport costs and insurance for shipment of goods";
6110;"Toll og spedisjonskostnad ved vareforsendelse";"Customs duty and forwarding cost for shipment of goods";
6190;"Annen frakt- og transportkostnad ved salg";"Other freight and transport cost related to sales";
6200;"Elektrisitet";"Electricity";
6210;"Gass";"Gas";
6220;"Fyringsolje";"Heating oil";
6230;"Kull, koks";"Coal, coke";
6240;"Ved";"Firewood";
6250;"Bensin, dieselolje";"Petrol, diesel fuel";
6260;"Vann";"Water";
6290;"Annet brensel";"Other fuel";
6300;"Leie lokale";"Rent, premises";
6320;"Renovasjon, vann, avløp o.l.";"Waste disposal, water, sewage etc.";
6340;"Lys";"Lighting";
6345;"Varme";"Heating";
6360;"Renhold";"Cleaning";
6391;"Felles-/administrasjonskostnad senterforening";"Joint/administrative cost, shopping centre merchants’ association";
6399;"Annen kostnad lokaler";"Other costs related to premises";
6400;"Leie maskiner";"Rental of machinery";
6410;"Leie inventar";"Rental of fixtures and fittings";
6420;"Leie datasystemer";"Rental of computer systems";
6430;"Leie andre kontormaskiner";"Rental of other office machines";
6440;"Leie transportmidler";"Rental of means of transport";
6490;"Annen leiekostnad";"Other rental costs";
6500;"Motordrevet verktøy";"Motorised tools";
6510;"Håndverktøy";"Hand tools";
6520;"Hjelpeverktøy";"Auxiliary tools";
6530;"Spesialverktøy";"Special tools";
6540;"Inventar";"Fixtures and fittings";
6551;"Datautstyr";"Computer equipment";
6552;"Programvare anskaffelse";"Software, procurement";
6553;"Programvare årlig vedlikehold";"Software, annual maintenance";
6559;"Annet driftsmateriale";"Other operating materials";
6560;"Rekvisita";"Supplies";
6570;"Arbeidsklær, oppgavepliktig";"Work clothing, reportable";
6571;"Arbeidsklær, ikke oppgavepliktig";"Work clothing, non-reportable";
6575;"Verneutstyr";"Protective gear";
6590;"Annet driftsmateriale";"Other operating materials";
6600;"Reparasjon og vedlikehold bygninger";"Repair and maintenance of buildings";
6620;"Reparasjon og vedlikehold utstyr";"Repair and maintenance of equipment";
6690;"Reparasjon og vedlikehold annet";"Other repair and maintenance";
6700;"Revisjonshonorar";"Auditors’ remuneration";
6702;"Honorar annen bistand fra revisor";"Auditors’ remuneration for other services";
6705;"Regnskapshonorar";"Accountants’ fees";
6720;"Honorar for økonomisk rådgivning";"Fees for financial advising";
6725;"Honorar for juridisk bistand, fradragsberettiget";"Fees for legal services, deductible";
6726;"Honorar for juridisk bistand, ikke fradragsberettiget";"Fees for legal services, non-deductible";
6750;"Honorar for databistand";"Fees for computer services";
6790;"Annen fremmed tjeneste, oppgavepliktig";"Other external services, reportable";
6795;"Annen fremmed tjeneste, ikke oppgavepliktig";"Other external services, non-reportable";
6800;"Kontorrekvisita";"Office supplies";
6820;"Trykksak";"Printed matter";
6840;"Aviser, tidsskrifter, bøker o.l.";"Newspapers, journals/periodicals, books etc.";
6860;"Møte, kurs, oppdatering o.l.";"Meetings, seminars/courses, refresher courses etc.";
6890;"Annen kontorkostnad";"Other office costs";
6900;"Telefon";"Telephone";
6903;"Mobiltelefon";"Mobile telephone";
6907;"Datakommunikasjon";"Data communication";
6909;"Annen telekommunikasjon";"Other telecommunication";
6940;"Porto";"Postage";
7000;"Drivstoff transportmiddel 1";"Fuel, means of transport 1";
7020;"Vedlikehold transportmiddel 1";"Maintenance, means of transport 1";
7040;"Forsikring transportmiddel 1";"Insurance, means of transport 1";
7090;"Annen kostnad transportmiddel 1";"Other costs, means of transport 1";
7100;"Bilgodtgjørelse, oppgavepliktig";"Car allowance, reportable";
7130;"Reisekostnad, oppgavepliktig";"Travel expenses, reportable";
7140;"Reisekostnad, ikke oppgavepliktig";"Travel expenses, non-reportable";
7150;"Diettkostnad, oppgavepliktig";"Subsistence expenses, reportable";
7160;"Diettkostnad, ikke oppgavepliktig";"Subsistence expenses, non-reportable";
7190;"Verktøygodtgjørelse";"Tool allowance";
7195;"Arbeidstøygodtgjørelse";"Work clothing allowance";
7199;"Annen kostnadsgodtgjørelse";"Other expense allowance";
7200;"Provisjonskostnad, oppgavepliktig";"Commission charges, reportable";
7210;"Provisjonskostnad, ikke oppgavepliktig";"Commission charges, non-reportable";
7300;"Salgskostnad";"Selling costs";
7320;"Reklameannonser";"Advertisements";
7322;"Reklameavis/-katalog mv.";"Advertising supplements/catalogues etc.";
7323;"Reklameartikler";"Advertising articles";
7329;"Annen reklamekostnad";"Other advertising costs";
7350;"Representasjon, fradragsberettiget";"Entertainment expenses, deductible";
7360;"Representasjon, ikke fradragsberettiget";"Entertainment expenses, non-deductible";
7390;"Annen salgskostnad, fradragsberettiget";"Other selling costs, deductible";
7395;"Annen salgskostnad, ikke fradragsberettiget";"Other selling costs, non-deductible";
7400;"Kontingent, fradragsberettiget";"Membership dues, deductible";
7410;"Kontingent, ikke fradragsberettiget";"Membership dues, non-deductible";
7420;"Gave, fradragsberettiget";"Gifts, deductible";
7430;"Gave, ikke fradragsberettiget";"Gifts, non-deductible";
7500;"Forsikringspremie";"Insurance premiums";
7530;"Frivillig tilleggstrygd for næringsdrivende";"Voluntary supplemental national insurance for self-employed";
7550;"Garantikostnad";"Guarantee costs";
7560;"Servicekostnad";"Service costs";
7600;"Lisensavgift";"Licence fees";
7605;"Royalties";"Royalties";
7610;"Patentkostnad ved egen patent";"Patent costs for own patent";
7620;"Kostnad ved varemerke o.l.";"Cost related to trademarks etc.";
7630;"Kontroll-, prøve- og stempelavgifter";"Inspection-, testing- and stamp duty fees";
7710;"Styremøter";"Board meetings";
7715;"Bedriftsforsamlingsmøter";"Corporate assembly meetings";
7720;"Generalforsamling";"General meeting";
7730;"Kostnad ved egne aksjer";"Cost of own shares (treasury stock)";
7750;"Eiendoms- og festeavgift";"Property tax and ground rent";
7770;"Bank- og kortgebyr";"Bank charges and card fees";
7775;"Kredittkortprovisjoner";"Credit card commissions";
7780;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
7781;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
7782;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
7783;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
7784;"Grunnlag innførsel av varer med null sats";"Basis import of goods with zero rate";
7785;"Grunnlag innførsel av varer med  null sats, motkonto";"Basis import of goods with zero rate, contra account";
7786;"Grunnlag utgående MVA kjøp tjenester fra utlandet";"Basis outgoing VAT purchase of services from abroad";
7787;"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto";"Basis outgoing VAT purchase of services from abroad, contra account";
7788;"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt";"Domestic purchase of goods and services, reversed VAT liability";
7789;"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt, motkonto";"Domestic purchase of goods and services, reversed VAT liability, contra account";
7798;"Annen kostnad, fradragsberettiget";"Other expenses, deductible";
7799;"Annen kostnad, ikke fradragsberettiget";"Other expenses, non-deductible";
7820;"Innkommet på tidligere nedskrevne fordringer, skattepliktig";"Income on bad debts previously written off, taxable";
7825;"Innkommet på tidligere nedskrevne fordringer, ikke skattepliktig";"Income on bad debts previously written off, non-taxable";
7830;"Tap på fordringer, fradragsberettiget";"Bad debts, deductible";
7835;"Tap på fordringer, ikke fradragsberettiget";"Bad debts, non-deductible";
7839;"Endring i avsetning for forventet tap";"Change in provision for expected loss";
7860;"Tap på kontrakter";"Losses on contracts";
7881;"Salgssum immatr. eiendeler og varige driftsmidler, avgiftspliktig salg";"Selling price, intangible assets and tangible fixed assets, sale subject to VAT";
7882;"Salgssum immatr. eiendeler og varige driftsmidler, avgiftsfritt salg";"Selling price, intangible assets and tangible fixed assets, sale not subject to VAT";
7889;"Motkonto, balanseverdi solgte immatr. eiendeler og varige driftsmidler";"Contra account, book value of sold intangible assets and tangible fixed assets";
7891;"Salgssum finansielle anleggsmidler";"Selling price of financial assets";
7899;"Motkonto balanseført verdi solgte finansielle driftsmidler";"Contra account, book value of sold financial assets";
7971;"Justering inngående merverdiavgift fast eiendom";"Ajustment VAT  property";
7972;"Justering inngående merverdiavgift maskiner, inventar mv.";"Ajustment VAT machinery, fixtures and fittings etc.";
8000;"Aksjeutbytte fra norsk datterselskap";"Dividends from Norwegian subsidiaries";
8003;"Aksjeutbytte fra utenlandsk datterselskap, innenfor fritaksmetoden";"Dividends from foreign subsidiaries, included in the exemption model";
8004;"Aksjeutbytte fra utenlandsk datterselskap, utenfor fritaksmetoden";"Dividends from foreign subsidiaries, not included in the exemption model";
8005;"Resultatandel fra datterselskap etter egenkapitalmetoden";"Share of income from subsidiaries according to the equity method";
8007;"Gevinst/tap ved realisasjon av aksjer/andeler i datterselskap, innenfor fritaksmetoden";"Gain/loss on the disposal of shares/units in subsidiaries, included in the exemption model";
8008;"Gevinst/tap ved realisasjon av aksjer/andeler i datterselskap, utenfor fritaksmetoden";"Gain/loss on the disposal of shares/units in subsidiaries, not included in the exemption model";
8010;"Aksjeutbytte fra norsk foretak i samme konsern";"Dividends from Norwegian group companies";
8013;"Aksjeutbytte fra utenlandsk foretak i samme konsern, innenfor fritaksmetoden";"Dividends from foreign group companies, included in the exemption model";
8014;"Aksjeutbytte fra utenlandsk foretak i samme konsern, utenfor fritaksmetoden";"Dividends from foreign group companies, not included in the exemption model";
8017;"Gevinst/tap ved realisasjon av aksjer/andeler i foretak i samme konsern, innenfor fritaksmodellen";"Gain/loss on disposal of shares/units in group companies, included in the exemption model";
8018;"Gevinst/tap ved realisasjon av aksjer/andeler i foretak i samme konsern, utenfor fritaksmetoden";"Gain/loss on disposal of shares/units in group companies, not included in the exemption model";
8020;"Aksjeutbytte fra norsk tilknyttet selskap";"Dividends from Norwegian associated companies";
8023;"Aksjeutbytte fra utenlandsk tilknyttet selskap, innenfor fritaksmetoden";"Dividends from foreign associated companies, included in the exemption model";
8024;"Aksjeutbytte fra utenlandsk tilknyttet selskap, utenfor fritaksmetoden";"Dividends from foreign associated companies, not included in the exemption model";
8025;"Resultatandel fra tilknyttet selskap etter egenkapitalmetoden";"Share of income from associated companies according to the equity method";
8027;"Gevinst/tap ved realisasjon av aksjer/andeler i tilknyttet selskap, innenfor fritaksmetoden";"Gain/loss on disposal of shares/units in associated companies, included in the exemption model";
8028;"Gevinst/tap ved realisasjon av aksjer/andeler i tilknyttet selskap, utenfor fritaksmetoden";"Gain/loss on disposal of shares/units in associated companies, not included in the exemption model";
8030;"Renteinntekt fra foretak i samme konsern";"Interest income from group companies";
8040;"Renteinntekt, skattefri";"Interest income, tax-exempt";
8050;"Renteinntekt bankinnskudd";"Interest income from bank deposits";
8055;"Renteinntekt kundefordringer";"Interest income from trade debtors";
8059;"Annen renteinntekt";"Other interest income";
8060;"Valutagevinst (agio)";"Foreign exchange gains (agio)";
8070;"Aksjeutbytte fra norsk foretak";"Dividends from Norwegian companies with tax credit";
8073;"Aksjeutbytte fra utenlandsk foretak, innenfor fritaksmetoden";"Dividends from foreign companies, included in the exemption model";
8074;"Aksjeutbytte fra utenlandsk foretak, utenfor fritaksmetoden";"Dividends from foreign companies, not included in the exemption model";
8077;"Gevinst ved realisasjon av andre aksjer/andeler, innenfor fritaksmetoden";"Gain on disposal of other shares/units, included in the exemption model";
8078;"Gevinst ved realisasjon av andre aksjer/andeler, utenfor fritaksmetoden";"Gain on disposal of other shares/units, not included in the exemption model";
8079;"Annen finansinntekt";"Other financial income";
8080;"Verdiøkning av finansielle instrumenter vurdert til virkelig verdi, urealisert";"Increase in value of financial instruments valued at fair value, unrealised";
8082;"Verdiøkning av finansielle instrumenter vurdert til virkelig verdi realisert";"Increase in value of financial instruments valued at fair value, realised";
8090;"Inntekt på andre investeringer";"Income from other investments";
8100;"Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi, urealisert";"Reduction in value of financial instruments valued at fair value, unrealised";
8105;"Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi, realisert";"Reduction in value of financial instruments valued at fair value, realised";
8110;"Nedskrivning av andre finansielle omløpsmidler";"Write-down on other financial current assets";
8120;"Nedskrivning av finansielle anleggsmidler";"Write-down on long-term financial assets";
8129;"Reversering av nedskrivning finansielle anleggsmidler";"Reversal of write-down on long-term financial assets";
8130;"Rentekostnad til foretak i samme konsern";"Interest paid to group companies";
8140;"Rentekostnad, ikke fradragsberettiget";"Interest expenses, non-deductible";
8150;"Rentekostnad banklån";"Interest paid on bank loans";
8154;"Renter/provisjon kassekreditt";"Interest/commission paid on overdraft facility";
8155;"Rentekostnad leverandørgjeld";"Interest paid on accounts payable";
8159;"Annen rentekostnad";"Other interest paid";
8160;"Valutatap (disagio)";"Foreign exchange losses (disagio)";
8177;"Tap ved realisasjon av aksjer/andeler, innenfor fritaksmetoden (jf. konto 8007, 8017 og 8027)";"Loss on disposal of shares/units, included in the exemption model (cf. account codes 8007, 8017 and 8027)";
8178;"Tap ved realisasjon av aksjer/andeler, utenfor fritaksmetoden (jf. konto 8008, 8018 og 8028)";"Loss on disposal of shares/units, not included in the exemption model (cf. account codes 8008, 8018 and 8028)";
8179;"Annen finanskostnad";"Other financial expenses";
8300;"Betalbar skatt";"Tax payable";
8309;"Betalbar skatt, for mye/lite avsatt tidligere år";"Tax payable, too much/little allocated in previous year(s)";
8320;"Endring i utsatt skatt/skattefordel";"Change in deferred tax/tax assets";
8400;"Virkning av prinsippendring";"Effect of the change in principle";
8410;"Korrigering av feil";"Correction of errors";
8500;"Virkning av prinsippendring";"Effect of the change in principle";
8510;"Korrigering av feil";"Correction of errors";
8600;"Betalbar skatt, virkning av prinsippendring";"Tax payable, effect of change in principle";
8602;"Betalbar skatt, korrigering av feil";"Tax payable, correction of error";
8609;"Betalbar skatt, for mye/lite avsatt tidligere år";"Tax payable, too much/little allocated in previous year(s)";
8620;"Endring utsatt skatt/skattefordel, virkning av prinsippendring";"Change in deferred tax/tax assets, effect of change in principle";
8622;"Endring utsatt skatt/skattefordel, korrigering av feil";"Change in deferred tax/tax assets, correction of error.";
8800;"Årsresultat";"Net profit or loss for the year";
8900;"Overføringer fond";"Reserve transfers";
8910;"Overføringer felleseid andelskapital for samvirkeforetak";"Transfers, jointly-owned cooperative share capital for cooperative society";
8920;"Avsatt utbytte / renter på egenkapitalbevis / etterbetaling for samvirkeforetak";"Allocated dividend / interest on equity certificates / dividend for cooperative society";
8921;"Avsatt tilleggsutbytte";"Allocated additional dividend";
8922;"Avsatt ekstraordinær utbytte";"Allocated extraordinary dividend";
8930;"Mottatt konsernbidrag";"Received group contributions";
8935;"Avsatt konsernbidrag";"Allocated group contributions";
8950;"Fondsemisjon";"Bonus issues";
8960;"Overføringer annen egenkapital";"Transfers to other equity";
8968;"Overføringer udisponert vinning";"Transfers to retained profits";
8969;"Overføringer udisponert tap";"Transfers to unapplied loss";
8980;"Privatuttak";"Private withdrawals";
8990;"Udekket tap";"Uncovered losses";
